epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6971153616905212,0.6373149156570435,0.001,0.7250000238418579,0.6102357506752014
1,0.7127403616905212,0.606128454208374,0.0009048374,0.7250000238418579,0.6151177287101746
2,0.7127403616905212,0.5401961207389832,0.00081873074,0.7250000238418579,0.5543689727783203
3,0.7109375,0.47696468234062195,0.0007408182,0.7250000238418579,0.3804236054420471
4,0.7289663553237915,0.45624256134033203,0.00067032006,0.7250000238418579,0.43941575288772583
5,0.7710336446762085,0.41205117106437683,0.00060653064,0.793749988079071,0.3754933476448059
6,0.8269230723381042,0.39506176114082336,0.00054881163,0.8187500238418579,0.34724968671798706
7,0.831129789352417,0.3654633164405823,0.00049658533,0.840624988079071,0.31820762157440186
8,0.8503605723381042,0.31347382068634033,0.00044932897,0.8812500238418579,0.27225255966186523
9,0.8737980723381042,0.2992880046367645,0.00040656966,0.8062499761581421,0.37679919600486755
